day,value
1,90.84057324744593
2,90.03908296956573
4,88.98627358670218
5,88.87790943610425
7,88.93062161790668
9,89.88762082555537
10,90.0987216557961
11,89.9859908740956
13,89.65887617564184
14,90.18098456483142
16,88.53558198693499
17,88.05997248432135
18,87.643485890551
19,88.14358997351671
20,87.97185860125941
22,86.8538029971377
24,87.70949626424539
25,88.03022560168814
26,88.14147397372761
27,88.75666117406226
30,88.48994154518861
31,89.19433830303473
32,88.58617639618338
35,88.98333670341059
37,88.98173004849512
38,88.77441250610669
39,88.20159190934355
40,88.36411215913003
42,89.07370331500786
43,88.99929050810347
46,90.12307816677892
47,89.70425569376647
48,89.6307749688874
49,89.97194982455183
50,89.22811500146635
51,89.77547028618856
52,90.60282372472051
53,90.61474474640471
55,91.0380850555814
56,91.40787358356157
57,91.71349950079914
58,91.95940064322764
59,92.8558625761367
60,92.51399400417898
61,93.04105052797227
62,92.73326930389361
64,93.9192453302618
65,94.24602539089888
66,94.50991868253332
67,94.97627954472016
68,94.92058386253512
70,94.85579329140539
72,94.72114646930585
73,94.75230442301773
74,94.5123056524498
76,95.07862353965413
78,94.88635135877848
79,95.03276193003308
80,94.60447073295407
81,94.13773422684115
82,94.3482567425978
85,93.03250003619958
86,93.57774718710836
88,92.2908719769807
89,92.59308799445373
93,93.41665627630566
94,93.6568609683907
95,93.54173210811489
98,92.83404551541948
100,91.88165763906059
101,91.95701882433183
103,91.94470263290125
104,91.78018532342635
106,91.19808744167341
107,91.04395066276881
109,91.87567055814299
110,91.44107210971242
112,91.56956257857902
113,92.03080122748547
114,92.48249694855662
116,92.44887271228608
119,94.34878634600156
120,94.7204566028559
121,93.96094088444612
122,93.58599309205653
123,94.7205367053692
124,95.100836405045
125,95.57858747209916
127,94.9590331407015
128,94.28857815147936
130,93.6519531820782
131,94.21140421508811
133,93.66753692907939
134,92.93410172977343
135,93.59602720374842
136,93.76825059654595
140,93.37093131165516
141,93.70634608355392
143,92.50151591445363
144,91.65184271119807
145,91.2425858727855
146,92.1677961668072
148,92.44233772889866
149,92.61855138210356
150,92.48128783887311
151,93.17431247286146
154,92.25286068307614
155,91.7633919894162
156,91.95658740281591
157,92.129705082
158,91.90489421131731
160,90.6309643136048
162,90.39365286849606
163,90.47417483228345
164,90.92144532942433
165,91.56681877768669
166,91.62088167956843
167,91.64805538944377
168,91.29259517031035
170,93.37176977089733
172,92.65227924640416
173,92.94943378734227
174,92.86628255330585
175,93.50258852605009
176,94.5405963279598
177,94.51435399834772
178,94.14400611164756
180,93.23116432050725
181,93.23159183828658
182,93.15851889405421
184,93.08195487397077
185,93.5908958089096
189,93.15181350807583
190,92.21203427196566
191,91.71506341748633
192,92.22599049076217
193,91.90714979289201
194,92.66065627147113
195,92.15174959769888
196,91.42869396104035
197,91.53659291453405
198,90.97280176527224
199,91.19237477693005
201,91.91048198804215
202,91.92409025227026
204,92.19851793795306
205,91.96161298039996
206,92.11130324190268
208,92.52181510669405
209,92.42345365838743
211,92.29020652798937
212,92.50642870893772
214,92.02326576376583
215,91.99486275449632
216,92.11315899547301
217,91.67453881762121
220,90.7850695489943
221,91.66214026059339
222,91.66751857146556
223,91.65404291014167
224,91.90692144499342
226,91.71509442659335
228,92.17010063685807
229,92.22345436105476
230,91.57315158480314
231,91.16382351174128
234,91.61380182736133
236,91.35337801477836
237,91.36427243451773
239,91.96700885639142
240,91.76964769326317
241,91.83047866453256
242,92.13577072332293
244,90.49283164946566
245,91.11303931566763
247,90.21442546504497
250,90.7198138062944
251,90.57794983818187
253,93.55104384728885
254,93.97713660732403
257,94.5957517801966
258,94.49141650626954
260,94.02082223469358
262,92.81869692735862
267,92.24496316066453
268,92.0821892322514
269,91.81310624474125
270,91.68223328163583
271,91.17403178316513
272,90.84544960533556
273,90.66524008831092
274,89.74148527791031
275,90.56344799856511
276,89.54358235883826
277,89.41673398946286
278,89.64035784503389
279,89.68546818755595
280,90.25407934967971
281,90.09281168410762
282,90.31910452055408
283,90.13199996856052
286,88.89167582868524
289,88.93533628065578
290,89.95450236142375
291,90.32536907255133
295,91.64701814198162
296,91.41048569274496
297,92.114499992124
300,93.16098716458093
301,92.9604915609707
302,92.84725256452205
303,92.59842416934268
304,93.18978977333688
306,93.2359878611531
307,93.28306217992784
308,94.17477394353106
309,94.1435981687038
310,94.56666117932014
312,94.82784374878914
316,94.12107875569208
318,94.12541453855299
319,93.63103877238593
320,93.46766526027498
321,93.358427508861
322,93.35922132406695
323,93.24822267116579
324,93.34039203284554
325,93.6017166983147
326,92.84214200011978
328,91.96444169797216
331,90.0063967991565
332,90.39378687218834
333,90.65407593357759
334,90.93909348149076
336,91.59693251478838
337,91.06932280005591
339,92.19585253870076
340,92.5817159741457
342,91.99499924042019
343,92.12126800135638
345,92.65972681086534
346,92.88284522248091
347,92.94933954484326
349,93.0064306055967
350,93.63140533276596
351,94.05768714420003
352,94.12230101058339
353,93.58891824266628
354,93.58510347593493
356,93.1878043927028
358,93.0636910135886
359,92.0069007043325
361,91.80335944819932
362,91.97759186286811
363,92.1691563850124
364,92.5374237740901
